,name,postalCode,startDateTime,endDateTime
0,New York Yankees vs. Baltimore Orioles,10451,2025-06-21T17:05:00Z,
1,New York Yankees vs. Houston Astros,10451,2025-08-08T23:05:00Z,
2,New York Yankees vs. Athletics,10451,2025-06-28T17:05:00Z,
3,New York Yankees vs. New York Mets,10451,2025-05-16T23:05:00Z,
4,New York Yankees vs. Baltimore Orioles,10451,2025-09-27T17:05:00Z,
5,New York Yankees vs. Baltimore Orioles,10451,2025-06-20T23:05:00Z,
6,New York Yankees vs. Baltimore Orioles,10451,2025-06-22T15:35:00Z,
7,New York Yankees vs. Houston Astros,10451,2025-08-10T17:35:00Z,
8,New York Yankees vs. New York Mets,10451,2025-05-17T17:05:00Z,
9,New York Yankees vs. Philadelphia Phillies,10451,2025-07-26T17:05:00Z,
10,New York Yankees vs. Boston Red Sox,10451,2025-06-07T23:35:00Z,
11,New York Yankees vs. Baltimore Orioles,10451,2025-09-28T19:05:00Z,
12,New York Yankees vs. New York Mets,10451,2025-05-18T23:10:00Z,
13,New York Yankees vs. Athletics,10451,2025-06-27T23:05:00Z,
14,New York Yankees vs. Boston Red Sox,10451,2025-06-06T23:05:00Z,
15,New York Yankees vs. Philadelphia Phillies,10451,2025-07-25T23:05:00Z,
16,New York Yankees vs. Toronto Blue Jays,10451,2025-09-05T23:05:00Z,
17,New York Yankees vs. Chicago Cubs,10451,2025-07-13T17:35:00Z,
18,New York Yankees vs. Boston Red Sox,10451,2025-06-08T17:35:00Z,
19,New York Yankees vs. Philadelphia Phillies,10451,2025-07-27T17:35:00Z,
20,New York Yankees vs. Chicago Cubs,10451,2025-07-11T23:05:00Z,
21,New York Yankees vs. Boston Red Sox,10451,2025-08-21T23:15:00Z,
22,New York Yankees vs. Seattle Mariners,10451,2025-07-10T23:05:00Z,
23,New York Yankees vs. Detroit Tigers,10451,2025-09-09T23:05:00Z,
24,New York Yankees vs. Los Angeles Angels,10451,2025-06-19T17:05:00Z,
25,New York Yankees vs. Texas Rangers,10451,2025-05-22T16:35:00Z,
26,New York Yankees vs. Texas Rangers,10451,2025-05-21T23:05:00Z,
27,Pinstripe Pass * New York Yankees v. New York Mets,10451,2025-05-16T23:05:00Z,
28,New York Yankees vs. Texas Rangers,10451,2025-05-20T23:05:00Z,
29,New York Yankees vs. Chicago Cubs,10451,2025-07-12T17:05:00Z,
30,New York Yankees vs. Toronto Blue Jays,10451,2025-09-06T17:05:00Z,
31,New York Yankees vs. Athletics,10451,2025-06-29T17:35:00Z,
32,New York Yankees vs. Los Angeles Angels,10451,2025-06-16T23:05:00Z,
33,New York Yankees vs. Seattle Mariners,10451,2025-07-08T23:05:00Z,
34,New York Yankees vs. Tampa Bay Rays,10451,2025-07-31T17:05:00Z,
35,New York Yankees vs. Boston Red Sox,10451,2025-08-22T23:05:00Z,
36,New York Yankees vs. Cleveland Guardians,10451,2025-06-03T23:05:00Z,
37,New York Yankees vs. Los Angeles Angels,10451,2025-06-18T23:05:00Z,
38,Hamilton (Touring),50309,2025-06-08T18:00:00Z,
39,New York Yankees vs. Boston Red Sox,10451,2025-08-23T17:05:00Z,
40,New York Yankees vs. Cleveland Guardians,10451,2025-06-04T23:05:00Z,
41,New York Yankees vs. Houston Astros,10451,2025-08-09T18:05:00Z,
42,Pinstripe Pass * New York Yankees v. Boston Red Sox,10451,2025-06-07T23:35:00Z,
43,Pinstripe Pass * New York Yankees v. Cleveland Guardians,10451,2025-06-03T23:05:00Z,
44,New York Yankees vs. Los Angeles Angels,10451,2025-06-17T23:05:00Z,
45,Pinstripe Pass * New York Yankees v. New York Mets,10451,2025-05-17T17:05:00Z,
46,Hamilton (Touring),50309,2025-06-04T00:30:00Z,
47,New York Yankees vs. Cleveland Guardians,10451,2025-06-05T23:05:00Z,
48,New York Yankees vs. Chicago White Sox,10451,2025-09-24T23:05:00Z,
49,Hamilton (Touring),50309,2025-06-08T00:30:00Z,
50,New York Yankees vs. Boston Red Sox,10451,2025-08-24T17:35:00Z,
51,Hamilton (Touring),50309,2025-06-13T00:30:00Z,
52,Pinstripe Pass * New York Yankees v. New York Mets,10451,2025-05-18T23:10:00Z,
53,New York Yankees vs. Seattle Mariners,10451,2025-07-09T23:05:00Z,
54,Hamilton (Touring),50309,2025-06-06T00:30:00Z,
55,Hamilton (Touring),50309,2025-06-11T00:30:00Z,
56,Hamilton (Touring),50309,2025-06-12T00:30:00Z,
57,Hamilton (Touring),50309,2025-06-15T18:00:00Z,
58,Hamilton (Touring),50309,2025-06-07T18:00:00Z,
59,New York Yankees vs. Minnesota Twins,10451,2025-08-13T23:05:00Z,
