track_id,title,artist,album,popularity,release_date,duration_ms
5xTtaWoae3wi06K5WfVUUH,Shake It Off,Taylor Swift,1989,73,2014-10-27,219200
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,91,2019-08-23,178426
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,85,2024-04-18,228965
0hhzNPE68LWLfgZwdpxVdR,us. (feat. Taylor Swift),"Gracie Abrams, Taylor Swift",The Secret of Us,80,2024-06-21,242666
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,83,2024-04-18,218004
273dCMFseLcVsoSWx59IoE,Bad Blood,Taylor Swift,1989,64,2014-10-27,211933
15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,Taylor Swift,72,2006-10-24,201106
6dODwocEuGzHAavXqTbwHv,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,76,2024-04-19,228965
3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,Fearless,68,2008-11-11,231133
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),79,2023-10-26,231833
1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,Fearless,67,2008-11-11,235266
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,Lover,86,2019-08-23,221306
2F3N9tdombb64aW6VtZOdo,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT,76,2024-04-18,261228
64FzgoLZ3oXu2SriZblHic,Bad Blood (Taylor's Version),Taylor Swift,1989 (Taylor's Version),69,2023-10-26,211103
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,folklore,86,2020-07-24,261922
1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),80,2023-10-26,231000
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,reputation,85,2017-11-10,236413
1kbEbBdEgQdQeLXCJh28pJ,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,76,2024-04-19,261228
1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version),71,2023-10-26,212600
4PdLaGZubp4lghChqp8erB,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,75,2024-04-19,293048
