job_title,job_description,job_url,posted_date,job_category,job_type,company_name,salary
Cyber Software Engineer Stf,"Job ID: 682357BR Date posted: Apr. 07, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires! What We're Doing: Lockheed Martin, Cyber & Intelligence invites you to step up to one of today's most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you'll protect the networks that our citizens and the world depend upon each minute: Financial assets. Healthcare information. Cr…",https://www.adzuna.com/land/ad/5155950755?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=4538FEDB9BA6BF57A97BE90E5A893111016A5597,2025-04-22T01:49:17Z,IT Jobs,part_time,Lockheed Martin,$156134.22 - $156134.22
Cloud Software Engineer with Poly Principle,"Job ID: 691399BR Date posted: Apr. 16, 2025 Description: THE WORK This role involves comprehensive technical planning and execution across the full system lifecycle, including system integration, verification and validation, cost and risk analysis, and sustainment. Proficiency or exposure to Linux is a plus as many systems rely on Linux-based environments for development, deployment, and operational support. WHO WE ARE At Lockheed Martin, we're a leading aerospace and defense company that's sha…",https://www.adzuna.com/land/ad/5175459920?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=F0FAC3E07A5DC643252F642790ACB8586E9B17EF,2025-05-02T01:52:05Z,IT Jobs,full_time,Lockheed Martin,$150037.72 - $150037.72
Software Engineer,"ManTech seeks a Software Engineer to join our team in the Ft. Meade, MD area. In this role, you will develop, maintain, and enhance complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. Responsibilities include, but are not limited to: Responsible for analyzing user requirements to derive software design…",https://www.adzuna.com/land/ad/5178015354?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=8CCAF6E637E8177CBAB052C0B0255E2E8722B969,2025-05-03T02:19:29Z,IT Jobs,,ManTech,$134246.9 - $134246.9
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169990206?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=14F31174A2D560394716C38D7188DD1E50F1D431,2025-04-30T01:46:09Z,IT Jobs,full_time,Symbotic,$137570.27 - $137570.27
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169990210?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=AA2BAE417AF38CFEA1B63AF0D404AD4713396340,2025-04-30T01:46:09Z,IT Jobs,full_time,Symbotic,$155377.4 - $155377.4
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169470765?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=F492E35A8F06AEC56C882F17A0643492037F2A65,2025-04-29T17:49:20Z,IT Jobs,full_time,Symbotic,$138617.25 - $138617.25
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169471026?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=DEAB5E47E88D4FB679BA592E28448958CD6DC638,2025-04-29T17:49:24Z,IT Jobs,full_time,Symbotic,$135380.88 - $135380.88
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169471013?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=7DDBA93B9B13EE3EA9B981805AEC148B74966EE8,2025-04-29T17:49:24Z,IT Jobs,full_time,Symbotic,$142445.88 - $142445.88
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169470780?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=D9E5F8246205EABD86820E0601447A0BFF5227FE,2025-04-29T17:49:20Z,IT Jobs,full_time,Symbotic,$142006.0 - $142006.0
Senior Software Engineer (Algorithm) – Automation Systems,"Who we are With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility. What we need We are looking for a S enior Software Engineer on who will play a hands-on role in the development of a suite of applications, both mobile and desktop for our next generation of …",https://www.adzuna.com/land/ad/5169470937?se=jK2J8dQp8BGDGO_HSiZXLA&utm_medium=api&utm_source=d7555b82&v=CEDD2A0F0D1ECB3639CAA424562F3D04CD1CBB06,2025-04-29T17:49:22Z,IT Jobs,full_time,Symbotic,$137511.89 - $137511.89
