name,mana_cost,cmc,type,colors,power,toughness,rarity,set_name,image_url
Ancestor's Chosen,{5}{W}{W},7.0,Creature — Human Cleric,W,4,4,Uncommon,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130550&type=card
Ancestor's Chosen,{5}{W}{W},7.0,Creature — Human Cleric,W,4,4,Uncommon,Tenth Edition,
Angel of Mercy,{4}{W},5.0,Creature — Angel,W,3,3,Uncommon,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129465&type=card
Angel of Mercy,{4}{W},5.0,Creature — Angel,W,3,3,Uncommon,Tenth Edition,
Angelic Blessing,{2}{W},3.0,Sorcery,W,,,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129711&type=card
Angelic Blessing,{2}{W},3.0,Sorcery,W,,,Common,Tenth Edition,
Angelic Chorus,{3}{W}{W},5.0,Enchantment,W,,,Rare,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129710&type=card
Angelic Wall,{1}{W},2.0,Creature — Wall,W,0,4,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129671&type=card
Angelic Wall,{1}{W},2.0,Creature — Wall,W,0,4,Common,Tenth Edition,
Aura of Silence,{1}{W}{W},3.0,Enchantment,W,,,Uncommon,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132127&type=card
Aven Cloudchaser,{3}{W},4.0,Creature — Bird Soldier,W,2,2,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129470&type=card
Aven Cloudchaser,{3}{W},4.0,Creature — Bird Soldier,W,2,2,Common,Tenth Edition,
Ballista Squad,{3}{W},4.0,Creature — Human Rebel,W,2,2,Uncommon,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129477&type=card
Bandage,{W},1.0,Instant,W,,,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132106&type=card
Beacon of Immortality,{5}{W},6.0,Instant,W,,,Rare,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130553&type=card
Benalish Knight,{2}{W},3.0,Creature — Human Knight,W,2,2,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=136279&type=card
Benalish Knight,{2}{W},3.0,Creature — Human Knight,W,2,2,Common,Tenth Edition,
"Cho-Manno, Revolutionary",{2}{W}{W},4.0,Legendary Creature — Human Rebel,W,2,2,Rare,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130554&type=card
Condemn,{W},1.0,Instant,W,,,Uncommon,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130528&type=card
Demystify,{W},1.0,Instant,W,,,Common,Tenth Edition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129524&type=card
