source,title,description,published_at
gnews,ringleader of bulgarian spy cell jailed for 10 years 8 months,the group which referred to themselves as the minions ran an international spy ring from a norfolk guesthouse,2025-05-12T16:44:01Z
gnews,soviet space probe kosmos launched in 1972 returns to earth  npr,kosmos 482 rocketed into space in 1972 on a quest to reach venus but its journey was scuttled by an apparent engine malfunction,2025-05-12T16:19:37Z
gnews,the apple ipad air m3 is at its lowest price ever right now deal of the day,todays deal of the day is the apple ipad air m3 its one of apples more powerful tablets and a good fit for students creatives and professionals,2025-05-12T16:17:44Z
gnews,hamas releases edan alexander the last living american israeli hostage in gaza,an american israeli soldier held hostage for more than 19 months in the gaza strip was released monday hamas said in a goodwill gesture toward the trump administration that could lay the groundwork for a new ceasefire with israel,2025-05-12T16:17:17Z
gnews,top uk special forces general oversaw blocking of afghan warcrime witnesses to britain,gen sir gwyn jenkins oversaw a process where afghan special forces were prevented from settling in the uk,2025-05-12T16:15:35Z
gnews,fixing cellular recycling centers may help treat neurodegenerative diseases,for neurodegenerative diseases such as alzheimers and parkinsons treatment options are scant new research by stanford scientists illuminates a promising target for treatmentincreasing a lipid that boosts the trashsorting functions of cells,2025-05-12T16:15:05Z
gnews,mary wright ne ruddy,whythall birmingham and formerly of inver barnatra peacefully after a short illness on may 8th with malcolm by her side predeceased by her parents bridget and richard and brother martin deeply regretted by her loving and devoted husband malcolm beloved sister to john barnatra village and fr michael dublin and her aunt and good friend,2025-05-12T16:07:12Z
gnews,groundbreaking jockey rachael blackmore announces her immediate retirement,rachael blackmore the virtuoso jump jockey who conjured seminal triumphs in the grand national gold cup champion hurdle and champion chase has read more,2025-05-12T16:04:53Z
gnews,tony hawk has aspirations of getting a tony hawks underground remake,its not up to me hawk admitted,2025-05-12T16:04:33Z
gnews,elden ring nightreign is taking a unique approach to storytelling  ign first,some of elden ring nightreigns remembrances are playable snippets of a moment from the characters past when you launch into a playable remembrance there will be a hazy dreamlike border around the screen and youll be transported to the location of the memory,2025-05-12T16:02:36Z
