state,country,electricity_unit,electricity_value,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt
ak,us,mwh,42.0,2025-04-28T21:12:07.540Z,18569523,40938.79,18569.52,18.57
fl,us,mwh,42.0,2025-04-28T21:12:07.542Z,16710476,36840.29,16710.48,16.71
ct,us,mwh,42.0,2025-04-28T21:12:07.543Z,9093333,20047.37,9093.33,9.09
az,us,mwh,42.0,2025-04-28T21:12:07.542Z,16634285,36672.32,16634.29,16.63
ca,us,mwh,42.0,2025-04-28T21:12:07.543Z,7375238,16259.62,7375.24,7.38
ar,us,mwh,42.0,2025-04-28T21:12:07.578Z,21483809,47363.69,21483.81,21.48
ga,us,mwh,42.0,2025-04-28T21:12:07.590Z,16779047,36991.47,16779.05,16.78
co,us,mwh,42.0,2025-04-28T21:12:07.593Z,25354285,55896.63,25354.29,25.35
al,us,mwh,42.0,2025-04-28T21:12:07.600Z,14963809,32989.55,14963.81,14.96
de,us,mwh,42.0,2025-04-28T21:12:07.597Z,13552380,29877.89,13552.38,13.55
id,us,mwh,42.0,2025-04-28T21:12:07.684Z,4026666,8877.28,4026.67,4.03
in,us,mwh,42.0,2025-04-28T21:12:07.696Z,31127619,68624.65,31127.62,31.13
il,us,mwh,42.0,2025-04-28T21:12:07.704Z,13824761,30478.38,13824.76,13.82
ia,us,mwh,42.0,2025-04-28T21:12:07.697Z,16409523,36176.81,16409.52,16.41
hi,us,mwh,42.0,2025-04-28T21:12:07.717Z,29765714,65622.17,29765.71,29.77
ks,us,mwh,42.0,2025-04-28T21:12:07.735Z,17020952,37524.78,17020.95,17.02
ky,us,mwh,42.0,2025-04-28T21:12:07.732Z,33916190,74772.4,33916.19,33.92
md,us,mwh,42.0,2025-04-28T21:12:07.743Z,14070476,31020.09,14070.48,14.07
me,us,mwh,42.0,2025-04-28T21:12:07.745Z,4068571,8969.66,4068.57,4.07
la,us,mwh,42.0,2025-04-28T21:12:07.788Z,15739047,34698.66,15739.05,15.74
ma,us,mwh,42.0,2025-04-28T21:12:07.807Z,14868571,32779.59,14868.57,14.87
mi,us,mwh,42.0,2025-04-28T21:12:07.824Z,19302857,42555.52,19302.86,19.3
mn,us,mwh,42.0,2025-04-28T21:12:07.848Z,16779047,36991.47,16779.05,16.78
ne,us,mwh,42.0,2025-04-28T21:12:07.847Z,24106666,53146.1,24106.67,24.11
mo,us,mwh,42.0,2025-04-28T21:12:07.845Z,30453333,67138.11,30453.33,30.45
ms,us,mwh,42.0,2025-04-28T21:12:07.846Z,15950476,35164.78,15950.48,15.95
nh,us,mwh,42.0,2025-04-28T21:12:07.870Z,4880000,10758.56,4880.0,4.88
mt,us,mwh,42.0,2025-04-28T21:12:07.884Z,24051428,53024.32,24051.43,24.05
nv,us,mwh,42.0,2025-04-28T21:12:07.885Z,14081904,31045.29,14081.9,14.08
nj,us,mwh,42.0,2025-04-28T21:12:07.919Z,10384761,22894.48,10384.76,10.38
ny,us,mwh,42.0,2025-04-28T21:12:07.935Z,7203809,15881.68,7203.81,7.2
nm,us,mwh,42.0,2025-04-28T21:12:07.955Z,25274285,55720.26,25274.29,25.27
nd,us,mwh,42.0,2025-04-28T21:12:07.971Z,27571428,60784.6,27571.43,27.57
ok,us,mwh,42.0,2025-04-28T21:12:07.973Z,13984761,30831.12,13984.76,13.98
nc,us,mwh,42.0,2025-04-28T21:12:07.984Z,14847619,32733.4,14847.62,14.85
oh,us,mwh,42.0,2025-04-28T21:12:07.993Z,23666666,52176.07,23666.67,23.67
or,us,mwh,42.0,2025-04-28T21:12:08.005Z,7582857,16717.34,7582.86,7.58
ri,us,mwh,42.0,2025-04-28T21:12:08.012Z,16234285,35790.47,16234.29,16.23
pa,us,mwh,42.0,2025-04-28T21:12:08.017Z,14453333,31864.15,14453.33,14.45
sc,us,mwh,42.0,2025-04-28T21:12:08.031Z,10255238,22608.93,10255.24,10.26
tn,us,mwh,42.0,2025-04-28T21:12:08.042Z,13417142,29579.74,13417.14,13.42
sd,us,mwh,42.0,2025-04-28T21:12:08.054Z,9373333,20664.66,9373.33,9.37
vt,us,mwh,42.0,2025-04-28T21:12:08.087Z,977142,2154.23,977.14,0.98
va,us,mwh,42.0,2025-04-28T21:12:08.105Z,12110476,26699.03,12110.48,12.11
tx,us,mwh,42.0,2025-04-28T21:12:08.106Z,17398095,38356.23,17398.1,17.4
ut,us,mwh,42.0,2025-04-28T21:12:08.112Z,30510476,67264.09,30510.48,30.51
wa,us,mwh,42.0,2025-04-28T21:12:08.133Z,5697142,12560.05,5697.14,5.7
wv,us,mwh,42.0,2025-04-28T21:12:08.141Z,37051428,81684.42,37051.43,37.05
wy,us,mwh,42.0,2025-04-28T21:12:08.153Z,39409523,86883.13,39409.52,39.41
dc,us,mwh,42.0,2025-04-28T21:12:08.168Z,15194285,33497.67,15194.29,15.19
wi,us,mwh,42.0,2025-04-28T21:12:08.171Z,23485714,51777.14,23485.71,23.49
