year,state,stateDescription,fuel_type,fuel_description,co2_thousand_mt,co2-thousand-metric-tons-units
2023,MS,Mississippi,COL,Coal,4619,thousand metric tons
2023,WY,Wyoming,ALL,Total,36580,thousand metric tons
2023,WY,Wyoming,PET,Petroleum,37,thousand metric tons
2023,WY,Wyoming,OTH,Other,0,thousand metric tons
2023,WY,Wyoming,NG,Natural Gas,1516,thousand metric tons
2023,WY,Wyoming,COL,Coal,35027,thousand metric tons
2023,WV,West Virginia,ALL,Total,45743,thousand metric tons
2023,WV,West Virginia,PET,Petroleum,130,thousand metric tons
2023,WV,West Virginia,OTH,Other,0,thousand metric tons
2023,WV,West Virginia,NG,Natural Gas,2161,thousand metric tons
2023,WV,West Virginia,COL,Coal,43453,thousand metric tons
2023,WI,Wisconsin,ALL,Total,32649,thousand metric tons
2023,WI,Wisconsin,PET,Petroleum,156,thousand metric tons
2023,WI,Wisconsin,OTH,Other,269,thousand metric tons
2023,WI,Wisconsin,NG,Natural Gas,11271,thousand metric tons
2023,WI,Wisconsin,COL,Coal,20952,thousand metric tons
2023,WA,Washington,ALL,Total,13674,thousand metric tons
2023,WA,Washington,PET,Petroleum,41,thousand metric tons
2023,WA,Washington,OTH,Other,124,thousand metric tons
2023,WA,Washington,NG,Natural Gas,8701,thousand metric tons
2023,WA,Washington,COL,Coal,4808,thousand metric tons
2023,VT,Vermont,ALL,Total,9,thousand metric tons
2023,VT,Vermont,PET,Petroleum,4,thousand metric tons
2023,VT,Vermont,OTH,Other,0,thousand metric tons
2023,VT,Vermont,NG,Natural Gas,5,thousand metric tons
2023,VA,Virginia,ALL,Total,24587,thousand metric tons
2023,VA,Virginia,PET,Petroleum,234,thousand metric tons
2023,VA,Virginia,OTH,Other,901,thousand metric tons
2023,VA,Virginia,NG,Natural Gas,21704,thousand metric tons
2023,VA,Virginia,COL,Coal,1748,thousand metric tons
2023,UT,Utah,ALL,Total,20620,thousand metric tons
2023,UT,Utah,PET,Petroleum,24,thousand metric tons
2023,UT,Utah,OTH,Other,10,thousand metric tons
2023,UT,Utah,NG,Natural Gas,4986,thousand metric tons
2023,UT,Utah,COL,Coal,15600,thousand metric tons
2023,US,United States,ALL,Total,1531554,thousand metric tons
2023,US,United States,PET,Petroleum,18132,thousand metric tons
2023,US,United States,OTH,Other,14608,thousand metric tons
2023,US,United States,NG,Natural Gas,789927,thousand metric tons
2023,US,United States,COL,Coal,708887,thousand metric tons
2023,TX,Texas,ALL,Total,212769,thousand metric tons
2023,TX,Texas,PET,Petroleum,330,thousand metric tons
2023,TX,Texas,OTH,Other,8,thousand metric tons
2023,TX,Texas,NG,Natural Gas,134426,thousand metric tons
2023,TX,Texas,COL,Coal,78004,thousand metric tons
2023,TN,Tennessee,ALL,Total,25297,thousand metric tons
2023,TN,Tennessee,PET,Petroleum,103,thousand metric tons
2023,TN,Tennessee,OTH,Other,0,thousand metric tons
2023,TN,Tennessee,NG,Natural Gas,7333,thousand metric tons
2023,TN,Tennessee,COL,Coal,17861,thousand metric tons
2023,SD,South Dakota,ALL,Total,2926,thousand metric tons
2023,SD,South Dakota,PET,Petroleum,23,thousand metric tons
