state,city,datetime,temp_celsius,feels_like_celsius,humidity_percent,pressure_hpa,weather_main,weather_description,wind_speed_mps,wind_deg,cloud_percent,visibility_m
AL,Montgomery,2025-04-10T00:23:49,7.79,6.15,46,1024,Clear,clear sky,2.57,130,0,10000
AK,Juneau,2025-04-10T00:23:49,7.0,4.0,76,1018,Rain,light rain,4.63,120,100,10000
AZ,Phoenix,2025-04-10T00:20:53,34.83,32.17,9,1014,Clear,clear sky,2.24,254,0,10000
AR,Little Rock,2025-04-10T00:21:46,22.49,21.92,43,1015,Clear,clear sky,4.12,220,0,10000
CA,Sacramento,2025-04-10T00:23:49,27.65,27.09,35,1018,Clear,clear sky,3.6,350,0,10000
CO,Denver,2025-04-10T00:22:03,21.38,19.94,14,1017,Clouds,broken clouds,4.47,322,80,10000
CT,Hartford,2025-04-10T00:21:53,4.49,3.59,46,1025,Clouds,scattered clouds,1.34,259,46,10000
DE,Dover,2025-04-10T00:23:49,6.23,3.6,53,1026,Clear,clear sky,3.6,140,0,10000
FL,Tallahassee,2025-04-10T00:19:58,18.67,17.92,51,1019,Clear,clear sky,2.54,4,0,10000
GA,Atlanta,2025-04-10T00:21:18,17.16,16.11,45,1020,Clouds,few clouds,2.06,150,20,10000
HI,Honolulu,2025-04-10T00:20:00,26.59,26.59,69,1016,Clouds,scattered clouds,8.75,40,40,10000
ID,Boise,2025-04-10T00:23:50,19.84,18.61,28,1023,Clear,clear sky,3.09,340,0,10000
IL,Springfield,2025-04-10T00:20:52,20.81,20.25,50,1013,Clear,clear sky,3.09,300,0,10000
IN,Indianapolis,2025-04-10T00:20:54,7.67,4.62,68,1017,Clouds,overcast clouds,5.14,150,100,10000
IA,Des Moines,2025-04-10T00:20:59,18.22,17.04,36,1013,Clouds,scattered clouds,1.54,290,40,10000
KS,Topeka,2025-04-10T00:23:50,22.63,21.78,32,1014,Clear,clear sky,3.09,330,0,10000
KY,Frankfort,2025-04-10T00:23:50,11.99,10.5,48,1017,Clouds,few clouds,2.57,90,20,10000
LA,Baton Rouge,2025-04-10T00:23:50,22.06,21.57,48,1020,Clear,clear sky,3.09,230,0,10000
ME,Augusta,2025-04-10T00:20:31,17.28,16.73,64,1021,Clear,clear sky,0.0,0,0,10000
MD,Annapolis,2025-04-10T00:23:50,7.53,4.05,55,1024,Clear,clear sky,6.17,160,0,10000
MA,Boston,2025-04-10T00:19:22,4.57,1.26,47,1025,Clouds,few clouds,4.12,130,20,10000
