movie_id,title,release_date,popularity,vote_average,vote_count,genres,overview,box_office,imdb_rating,rotten_tomatoes_rating,metacritic_rating,awards
278,The Shawshank Redemption,1994-09-23,62.9294,8.709,28197,"['Drama', 'Crime']",,"$28,767,189",9.3,89%,82/100,Nominated for 7 Oscars. 21 wins & 42 nominations total
238,The Godfather,1972-03-24,35.2183,8.687,21375,"['Drama', 'Crime']",,"$136,381,073",9.2,97%,100/100,Won 3 Oscars. 31 wins & 31 nominations total
240,The Godfather Part II,1974-12-20,16.8829,8.571,12916,"['Drama', 'Crime']",,"$47,834,595",9.0,96%,90/100,Won 6 Oscars. 17 wins & 21 nominations total
424,Schindler's List,1993-12-15,36.5596,8.564,16389,"['Drama', 'History', 'War']",,"$96,898,818",9.0,98%,95/100,Won 7 Oscars. 91 wins & 49 nominations total
389,12 Angry Men,1957-04-10,15.6512,8.548,9093,['Drama'],,N/A,9.0,100%,97/100,Nominated for 3 Oscars. 16 wins & 12 nominations total
129,Spirited Away,2002-09-20,21.8291,8.536,17078,"['Animation', 'Family', 'Fantasy']",,"$15,205,725",8.6,96%,96/100,Won 1 Oscar. 58 wins & 31 nominations total
155,The Dark Knight,2008-07-18,30.3051,8.5,33766,"['Drama', 'Action', 'Crime', 'Thriller']",,"$534,987,076",9.0,94%,84/100,Won 2 Oscars. 164 wins & 165 nominations total
19404,Dilwale Dulhania Le Jayenge,1995-10-20,7.2897,8.516,4484,"['Comedy', 'Drama', 'Romance']",,N/A,8.0,100%,,15 wins & 4 nominations total
497,The Green Mile,1999-12-10,36.8162,8.504,18036,"['Fantasy', 'Drama', 'Crime']",,"$136,801,374",8.6,79%,61/100,Nominated for 4 Oscars. 15 wins & 37 nominations total
496243,Parasite,2019-10-11,28.5778,8.5,18984,"['Comedy', 'Thriller', 'Drama']",,"$53,369,749",8.5,99%,97/100,Won 4 Oscars. 316 wins & 266 nominations total
680,Pulp Fiction,1994-10-14,50.4129,8.489,28606,"['Thriller', 'Crime']",,"$107,928,762",8.9,92%,95/100,Won 1 Oscar. 69 wins & 72 nominations total
372058,Your Name.,2017-04-07,19.1827,8.485,11731,"['Animation', 'Romance', 'Drama']",,"$5,017,246",8.4,98%,81/100,17 wins & 27 nominations total
122,The Lord of the Rings: The Return of the King,2003-12-17,24.3598,8.483,25008,"['Adventure', 'Fantasy', 'Action']",,"$381,878,219",9.0,94%,94/100,Won 11 Oscars. 215 wins & 124 nominations total
13,Forrest Gump,1994-07-06,26.8034,8.468,28142,"['Comedy', 'Drama', 'Romance']",,"$330,455,270",8.8,75%,82/100,Won 6 Oscars. 51 wins & 74 nominations total
429,"The Good, the Bad and the Ugly",1967-12-29,42.5435,8.5,8952,['Western'],,"$25,100,000",8.8,97%,90/100,2 wins & 5 nominations total
346,Seven Samurai,1956-11-19,7.9603,8.458,3876,"['Action', 'Drama']",,"$820,278",8.6,100%,98/100,Nominated for 2 Oscars. 5 wins & 9 nominations total
769,GoodFellas,1990-09-19,72.4881,8.455,13318,"['Drama', 'Crime']",,"$46,909,721",8.7,94%,92/100,Won 1 Oscar. 45 wins & 38 nominations total
157336,Interstellar,2014-11-05,42.7904,8.454,37026,"['Adventure', 'Drama', 'Science Fiction']",,"$203,227,580",8.7,73%,74/100,Won 1 Oscar. 44 wins & 148 nominations total
12477,Grave of the Fireflies,2018-08-12,0.0111,8.451,5856,"['Animation', 'Drama', 'War']",,"$516,962",8.5,100%,94/100,3 wins total
637,Life Is Beautiful,1998-10-22,16.4767,8.449,13325,"['Comedy', 'Drama']",,"$57,563,264",8.6,81%,58/100,Won 3 Oscars. 72 wins & 52 nominations total
550,Fight Club,1999-10-15,34.2907,8.439,30199,['Drama'],,"$37,030,102",8.8,81%,67/100,Nominated for 1 Oscar. 12 wins & 38 nominations total
11216,Cinema Paradiso,1990-02-23,7.6699,8.436,4512,"['Drama', 'Romance']",,"$12,397,210",8.5,91%,80/100,Won 1 Oscar. 25 wins & 33 nominations total
598,City of God,2003-01-17,13.8329,8.429,7606,"['Drama', 'Crime']",,"$7,564,459",8.6,91%,79/100,Nominated for 4 Oscars. 75 wins & 50 nominations total
539,Psycho,1960-06-22,16.0393,8.422,10325,"['Horror', 'Thriller', 'Mystery']",,"$32,000,000",8.5,97%,97/100,Nominated for 4 Oscars. 8 wins & 14 nominations total
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-19,25.1152,8.42,25909,"['Adventure', 'Fantasy', 'Action']",,"$319,372,078",8.9,92%,92/100,Won 4 Oscars. 125 wins & 126 nominations total
40096,A Dog's Will,2000-09-15,3.8035,8.418,1152,"['Comedy', 'Drama', 'Fantasy']",,N/A,8.6,,,10 wins & 10 nominations
14537,Harakiri,1963-09-11,3.4474,8.4,1064,"['Action', 'Drama', 'History']",,N/A,8.6,100%,85/100,9 wins & 3 nominations total
667257,Impossible Things,2021-06-17,3.2344,8.4,403,"['Family', 'Drama']",,N/A,7.7,,,1 win & 9 nominations
