"event_id","event_name","event_date","event_time","event_timestamp","league_id","league_name","home_team_id","home_team_name","away_team_id","away_team_name","home_score","away_score","status","season","round","venue","country","event_metadata","created_at","updated_at"
"2209609","Philadelphia Eagles vs Kansas City Chiefs","2025-02-09","23:30:00","2025-02-09T23:30:00","4391","NFL","134936","Philadelphia Eagles","134931","Kansas City Chiefs",40,22,"FT","2024","","Caesars Superdome","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": ""Super Bowl LIX is the upcoming American football championship game of the National Football League (NFL) for the 2024 season. The game is scheduled to be played on February 9, 2025, at the Caesars Superdome in New Orleans, Louisiana. A rematch of Super Bowl LVII from two years earlier, the game will be played between the American Football Conference (AFC) champion and two-time defending Super Bowl champion Kansas City Chiefs and the National Football Conference (NFC) champion Philadelphia Eagles.\r\n\r\nIt will be the eighth Super Bowl played in the Superdome and the eleventh in the city of New Orleans, the most recent being Super Bowl XLVII in 2013, held in the same venue. The game will be televised in the United States by Fox and streamed on Tubi."", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/qo71dj1739007337.jpg"", ""banner"": ""https://r2.thesportsdb.com/images/media/event/banner/rxw6oz1739007739.jpg"", ""video"": ""https://www.youtube.com/watch?v=-rOmWIERvzo"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/reucy61739007975.jpg""}","2025-05-18T20:15:24.921783","2025-05-18T20:15:24.921791"
"2206642","Kansas City Chiefs vs Buffalo Bills","2025-01-26","23:30:00","2025-01-26T23:30:00","4391","NFL","134931","Kansas City Chiefs","134918","Buffalo Bills",32,29,"FT","2024","","GEHA Field at Arrowhead Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/efgr261739007081.jpg"", ""banner"": ""https://r2.thesportsdb.com/images/media/event/banner/qwjfk71659875352.jpg"", ""video"": ""https://www.youtube.com/watch?v=4DAFwo8dvEc"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/m6fl7r1716475950.jpg""}","2025-05-18T20:15:24.921847","2025-05-18T20:15:24.921850"
"2206641","Philadelphia Eagles vs Washington Commanders","2025-01-26","20:00:00","2025-01-26T20:00:00","4391","NFL","134936","Philadelphia Eagles","134937","Washington Commanders",55,23,"FT","2024","","Lincoln Financial Field","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/194hl21739007016.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=6jERnLUQ4JY"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/jqrlel1716338727.jpg""}","2025-05-18T20:15:24.921889","2025-05-18T20:15:24.921892"
"2203583","Philadelphia Eagles vs Los Angeles Rams","2025-01-19","20:00:00","2025-01-19T20:00:00","4391","NFL","134936","Philadelphia Eagles","135907","Los Angeles Rams",28,22,"FT","2024","","Lincoln Financial Field","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/0mdp1o1739006739.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=4oav669nx3o"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/qw5ewc1737381437.jpg""}","2025-05-18T20:15:24.921950","2025-05-18T20:15:24.921953"
"2203521","Buffalo Bills vs Baltimore Ravens","2025-01-19","23:30:00","2025-01-19T23:30:00","4391","NFL","134918","Buffalo Bills","134922","Baltimore Ravens",27,25,"FT","2024","","Highmark Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/hmcqzc1739006739.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=C9Ate21AHKs"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/v9eg181737381623.jpg""}","2025-05-18T20:15:24.922011","2025-05-18T20:15:24.922015"
"2203520","Detroit Lions vs Washington Commanders","2025-01-19","01:00:00","2025-01-19T01:00:00","4391","NFL","134939","Detroit Lions","134937","Washington Commanders",31,45,"FT","2024","","Ford Field","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/qwhpwb1739006738.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=FjKM8ER8bOA"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/v5u79d1716686191.jpg""}","2025-05-18T20:15:24.922054","2025-05-18T20:15:24.922057"
"2203519","Kansas City Chiefs vs Houston Texans","2025-01-18","21:30:00","2025-01-18T21:30:00","4391","NFL","134931","Kansas City Chiefs","134926","Houston Texans",23,14,"FT","2024","","GEHA Field at Arrowhead Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/4japqk1739006737.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=v0xd0-ccChw"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/vd5kb61737381209.jpg""}","2025-05-18T20:15:24.922091","2025-05-18T20:15:24.922093"
"2201764","Los Angeles Rams vs Minnesota Vikings","2025-01-14","01:00:00","2025-01-14T01:00:00","4391","NFL","135907","Los Angeles Rams","134941","Minnesota Vikings",27,9,"FT","2024","","State Farm Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/0wpqov1739006404.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=MSgFD4pwmMg"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/3zqpp01736899578.jpg""}","2025-05-18T20:15:24.922155","2025-05-18T20:15:24.922158"
"2201763","Tampa Bay Buccaneers vs Washington Commanders","2025-01-13","01:00:00","2025-01-13T01:00:00","4391","NFL","134945","Tampa Bay Buccaneers","134937","Washington Commanders",20,23,"FT","2024","","Raymond James Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/44ds2b1739006404.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=3r_RvoePsx0"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/1ktcdd1736899877.jpg""}","2025-05-18T20:15:24.922194","2025-05-18T20:15:24.922197"
"2201762","Philadelphia Eagles vs Green Bay Packers","2025-01-12","21:30:00","2025-01-12T21:30:00","4391","NFL","134936","Philadelphia Eagles","134940","Green Bay Packers",22,10,"FT","2024","","Lincoln Financial Field","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/niyrwn1739006403.jpg"", ""banner"": ""https://r2.thesportsdb.com/images/media/event/banner/uo97yh1659875382.jpg"", ""video"": ""https://www.youtube.com/watch?v=Ubc6N-kXiMg"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/by4ckg1716320686.jpg""}","2025-05-18T20:15:24.922247","2025-05-18T20:15:24.922250"
"2201761","Buffalo Bills vs Denver Broncos","2025-01-12","18:00:00","2025-01-12T18:00:00","4391","NFL","134918","Buffalo Bills","134930","Denver Broncos",31,7,"FT","2024","","Highmark Stadium","United States","{""sport"": ""American Football"", ""circuit"": null, ""description"": """", ""thumb"": ""https://r2.thesportsdb.com/images/media/event/thumb/sr8hag1739006403.jpg"", ""banner"": """", ""video"": ""https://www.youtube.com/watch?v=wlRhI-wY0C0"", ""poster"": ""https://r2.thesportsdb.com/images/media/event/poster/njugh41717176384.jpg""}","2025-05-18T20:15:24.922284","2025-05-18T20:15:24.922286"
