"video_id","snapshot_date","view_count","like_count","dislike_count","favorite_count","comment_count","engagement_rate","daily_views","daily_likes","daily_comments","created_at"
"N73Ph-M9acg","2025-05-18",25048,792,0,0,88,0.03513254551261578,0,0,0,"2025-05-18T20:15:31.215555"
"XoUGoxmVtM8","2025-05-18",18424,1276,0,0,89,0.07408814589665653,0,0,0,"2025-05-18T20:15:31.215562"
"EIXflP9V3yI","2025-05-18",32702,1747,0,0,49,0.054920188367683934,0,0,0,"2025-05-18T20:15:31.215567"
"JPdosYAgmOI","2025-05-18",57,2,0,0,0,0.03508771929824561,0,0,0,"2025-05-18T20:15:31.215572"
"eEPpna-yZpg","2025-05-18",20553,1254,0,0,41,0.06300783340631538,0,0,0,"2025-05-18T20:15:31.215577"
"nS9KI4hIt_I","2025-05-18",16663,1083,0,0,34,0.06703474764448178,0,0,0,"2025-05-18T20:15:31.215582"
"RsKAXP1Vsbc","2025-05-18",12379,542,0,0,22,0.04556103077793037,0,0,0,"2025-05-18T20:15:31.215587"
"z4xYY3JYjyI","2025-05-18",29409,958,0,0,8,0.032847087626236865,0,0,0,"2025-05-18T20:15:31.215597"
"sp3d41v-o4E","2025-05-18",4,1,0,0,0,0.25,0,0,0,"2025-05-18T20:15:31.215603"
"kjNy-FFZ3yk","2025-05-18",441950,3678,0,0,399,0.009225025455368255,0,0,0,"2025-05-18T20:15:31.215608"
