song_title,artist,city,weather_main,temperature,ingested_at,lyrics_preview,row_num,song_mood,weather_mood
Creep,Radiohead,Atlanta,Clear,71.46,2025-05-19 03:12:57.578247 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",1,,
What Was That,Lorde,Atlanta,Clear,71.46,2025-05-19 03:12:22.871042 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",1,,
luther (with SZA),Kendrick Lamar,Austin,Clear,80.82,2025-05-19 03:12:20.24292 UTC,Lyrics preview unavailable.,1,,
tAsTe,Sabrina Carpenter,Austin,Clear,80.82,2025-05-19 03:12:51.456418 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",1,,
Von Dutch,Charli XCX,Los Angeles,Clear,62.1,2025-05-19 03:12:37.207954 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",1,,
Ribs,Lorde,Los Angeles,Clear,62.1,2025-05-19 03:13:07.895942 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",1,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,62.1,2025-05-19 03:12:14.833792 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",1,,
Blinding Lights,The Weeknd,Los Angeles,Clear,75,2025-05-18 20:44:31.468879 UTC,"Yeah
I've been tryna call
I've been on my own for long enough",1,,
Pink + White,Frank Ocean,San Francisco,Clear,59.52,2025-05-19 03:13:00.000905 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",1,,
espresso,Sabrina Carpenter,San Francisco,Clear,59.52,2025-05-19 03:12:26.159194 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",1,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,61.3,2025-05-19 03:12:31.181447 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",1,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,61.3,2025-05-19 03:13:02.170427 UTC,Lyrics preview unavailable.,1,,
