,date,vol
0,2020-02-03,9047
1,2020-02-04,9313
2,2020-02-05,9241
3,2020-02-06,9277
4,2020-02-07,11176
5,2020-02-08,8600
6,2020-02-09,7337
7,2020-09-24,122991
8,2020-10-19,47585
9,2020-10-20,50628
10,2020-10-21,49685
11,2020-10-22,44705
12,2020-10-23,49174
13,2020-10-24,46040
14,2020-10-25,38892
15,2020-10-26,56860
16,2020-10-27,74815
17,2020-10-28,75033
18,2020-10-29,73728
19,2020-10-30,52436
20,2020-10-31,50823
21,2020-11-01,44888
22,2020-11-04,90861
23,2020-11-05,54929
24,2020-11-07,30032
25,2020-11-08,27139
26,2020-11-09,32190
27,2020-11-10,30434
28,2020-11-11,30508
29,2020-11-12,32058
30,2020-11-13,12855
31,2020-11-14,2523
32,2020-11-15,2296
33,2020-11-16,2352
34,2020-11-17,2185
35,2020-11-18,2351
36,2020-11-19,1318
37,2020-11-20,1271
38,2020-11-21,2665
39,2020-11-22,2343
40,2020-12-05,5402
41,2020-12-06,4974
42,2020-12-07,6163
43,2020-12-08,6593
44,2020-12-09,8426
45,2020-12-10,8536
46,2020-12-11,6647
47,2020-12-12,5496
48,2020-12-13,4455
49,2021-02-25,26588
50,2021-02-26,25464
51,2021-02-27,17499
52,2021-02-28,17254
53,2021-03-01,19752
54,2021-03-02,18500
55,2021-03-03,19207
56,2021-03-22,9637
57,2021-03-23,11375
58,2021-03-24,8634
59,2021-03-25,10497
60,2021-03-26,10822
61,2021-03-27,9237
62,2021-03-28,6725
63,2021-03-29,3369
64,2021-03-30,2240
65,2021-03-31,2093
66,2021-04-01,2385
67,2021-04-02,2331
68,2021-04-03,183
69,2021-06-09,24716
70,2021-06-10,24537
71,2021-06-11,25849
72,2021-06-12,22925
73,2021-06-13,23801
74,2021-06-14,25953
75,2021-06-15,24105
76,2021-07-12,6256
77,2021-07-13,39780
78,2021-07-14,39609
79,2021-07-15,41086
80,2021-07-16,38445
81,2021-07-17,35570
82,2021-07-18,32068
83,2021-07-19,34598
84,2021-07-26,3692
85,2021-07-27,4631
86,2021-07-28,4898
87,2021-07-29,3996
88,2021-07-30,233
89,2021-10-18,46678
90,2021-10-19,48177
91,2021-10-20,47441
92,2021-10-21,46790
93,2021-10-22,50228
94,2021-10-23,45009
95,2021-10-24,43202
96,2021-10-25,46290
97,2021-10-26,115264
98,2021-10-27,126332
99,2021-10-28,123597
100,2021-10-29,50237
101,2021-10-30,44761
102,2021-11-07,23603
103,2021-11-08,24921
104,2021-11-09,24688
105,2021-11-10,25558
106,2021-11-11,25312
107,2021-11-12,27674
108,2021-11-13,24043
109,2022-02-09,15988
110,2022-02-10,16679
111,2022-02-11,16967
112,2022-02-15,20128
113,2022-02-16,20791
114,2022-02-17,19717
115,2022-02-18,19464
116,2022-02-19,16916
117,2022-03-20,30009
118,2022-03-21,26793
119,2022-03-22,28771
120,2022-03-23,27616
121,2022-03-24,28519
122,2022-03-25,30855
123,2022-03-26,28779
124,2022-04-25,8086
125,2022-04-26,8652
126,2022-04-27,8617
127,2022-04-28,9356
128,2022-04-29,9563
129,2022-04-30,9910
130,2022-05-01,9429
131,2022-10-18,145779
132,2022-10-19,154879
133,2022-10-20,153911
134,2022-10-22,60557
135,2022-10-23,57993
136,2022-10-24,60876
137,2022-10-25,136742
138,2022-10-26,141119
139,2022-10-27,138998
140,2022-10-28,64227
141,2022-10-29,57649
142,2022-10-30,51258
143,2022-10-31,59796
144,2022-11-01,247622
145,2022-11-02,242720
146,2022-11-03,255407
147,2022-11-04,61556
148,2022-12-01,32568
149,2022-12-02,35007
150,2023-03-01,11338
151,2023-03-02,11681
152,2023-03-03,11333
153,2023-03-04,11549
154,2023-03-05,10162
155,2023-03-06,10774
156,2023-03-07,10911
157,2023-03-08,11272
158,2023-04-23,44048
159,2023-04-24,38574
160,2023-05-24,33570
161,2023-05-25,33328
162,2023-05-26,33470
163,2023-05-27,29239
164,2023-05-28,27281
165,2023-05-29,15320
166,2023-06-05,11096
167,2023-06-06,10992
168,2023-06-07,11037
169,2023-06-08,11523
170,2023-10-01,37645
171,2023-10-02,34936
172,2023-10-03,34962
173,2023-10-17,55135
174,2023-10-18,26433
175,2023-10-19,26675
176,2023-10-20,26420
177,2023-10-21,23607
178,2023-10-22,24394
179,2023-10-23,25562
180,2023-10-24,25185
181,2023-10-25,25975
182,2023-10-26,25978
183,2023-10-27,26314
184,2023-10-28,24578
185,2023-10-29,23496
186,2023-10-30,25496
187,2023-10-31,23700
188,2023-11-01,63271
189,2023-11-02,65168
190,2023-11-03,67136
191,2023-11-04,62697
192,2023-11-05,33558
193,2023-11-06,37876
194,2023-12-02,9607
195,2023-12-03,8891
196,2023-12-04,8243
197,2023-12-05,8897
198,2023-12-06,8437
199,2023-12-07,9627
200,2023-12-08,9421
201,2023-12-09,9238
202,2023-12-10,8067
203,2024-02-04,11400
204,2024-02-05,12078
205,2024-02-06,7907
206,2024-02-07,8312
207,2024-02-08,8155
208,2024-02-09,7853
209,2024-02-10,7611
210,2024-02-11,7337
211,2024-02-12,7334
212,2024-02-13,5057
213,2024-02-14,5289
214,2024-02-15,4957
215,2024-02-16,4786
216,2024-02-17,4138
217,2024-02-24,10336
218,2024-02-25,9358
219,2024-02-26,12154
220,2024-02-27,12567
221,2024-02-28,12740
222,2024-02-29,13121
223,2024-03-01,13633
224,2024-03-02,26349
225,2024-03-03,26384
226,2024-03-04,26641
227,2024-03-05,26422
228,2024-03-06,25748
229,2024-03-07,26564
230,2024-03-08,28091
231,2024-03-09,27088
232,2024-03-10,24747
233,2024-03-11,20096
234,2024-03-12,20747
235,2024-03-13,20144
236,2024-03-14,34277
237,2024-03-15,33776
