,date,mean_temp,max_temp,min_temp,weather_code,precipitation_sum
0,2020-01-01,35.9,39.7,30.8,3,0.0
1,2020-01-02,36.2,47.9,27.8,3,0.0
2,2020-01-03,43.5,48.6,35.8,53,0.157
3,2020-01-04,45.7,50.0,41.9,53,0.244
4,2020-01-05,36.7,41.1,29.3,53,0.035
5,2020-01-06,36.8,45.6,31.0,73,0.051
6,2020-01-07,36.4,42.7,30.6,71,0.031
7,2020-01-08,33.6,40.9,28.9,71,0.004
8,2020-01-09,27.9,32.8,22.9,3,0.0
9,2020-01-10,40.8,51.9,29.8,3,0.0
10,2020-01-11,56.7,64.8,45.9,51,0.008
11,2020-01-12,58.3,65.6,43.9,61,0.106
12,2020-01-13,40.5,47.8,33.9,51,0.008
13,2020-01-14,39.3,43.9,33.6,51,0.012
14,2020-01-15,42.1,48.7,37.1,51,0.004
15,2020-01-16,42.0,47.4,34.2,53,0.071
16,2020-01-17,26.2,33.2,22.2,3,0.0
17,2020-01-18,26.1,36.2,20.5,75,0.331
18,2020-01-19,36.8,44.6,29.6,53,0.059
19,2020-01-20,24.8,30.3,19.0,3,0.0
20,2020-01-21,25.5,33.9,19.9,3,0.0
21,2020-01-22,27.7,37.1,22.2,2,0.0
22,2020-01-23,31.8,44.4,23.9,3,0.0
23,2020-01-24,36.9,49.1,26.9,3,0.0
24,2020-01-25,40.9,49.2,33.4,63,1.004
25,2020-01-26,39.0,46.0,33.2,3,0.0
26,2020-01-27,37.7,44.9,31.1,3,0.0
27,2020-01-28,37.1,41.6,31.1,3,0.0
28,2020-01-29,32.9,39.7,27.6,3,0.0
29,2020-01-30,28.3,34.1,21.9,3,0.0
30,2020-01-31,35.6,43.3,26.9,53,0.039
31,2020-02-01,36.4,41.9,30.3,51,0.016
32,2020-02-02,36.8,42.9,32.6,73,0.126
33,2020-02-03,42.2,54.2,32.0,71,0.02
34,2020-02-04,44.5,55.5,36.6,53,0.091
35,2020-02-05,40.7,48.2,37.9,51,0.031
36,2020-02-06,39.6,43.6,35.7,63,0.634
37,2020-02-07,40.8,57.0,33.5,73,0.402
38,2020-02-08,33.4,40.5,27.6,3,0.0
39,2020-02-09,34.3,43.7,27.9,3,0.0
40,2020-02-10,41.7,47.8,36.8,61,0.386
41,2020-02-11,43.0,45.5,40.5,61,0.358
42,2020-02-12,39.7,44.8,33.4,51,0.012
43,2020-02-13,39.5,43.6,35.8,61,0.772
44,2020-02-14,29.9,37.2,19.5,3,0.0
45,2020-02-15,21.8,28.9,15.2,3,0.0
46,2020-02-16,34.6,45.6,26.1,3,0.0
47,2020-02-17,38.3,49.4,29.7,3,0.0
48,2020-02-18,39.9,48.5,32.7,51,0.051
49,2020-02-19,40.5,46.3,30.9,3,0.0
50,2020-02-20,31.2,37.6,25.9,3,0.0
51,2020-02-21,26.9,35.0,20.3,0,0.0
52,2020-02-22,34.9,47.7,25.5,1,0.0
53,2020-02-23,39.4,53.2,26.9,1,0.0
54,2020-02-24,41.5,55.0,29.4,3,0.0
55,2020-02-25,45.0,49.9,39.9,61,0.106
56,2020-02-26,44.8,50.3,41.5,51,0.004
57,2020-02-27,39.6,47.3,30.2,63,0.476
