timestamp,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2025-05-19 00:00:00,15.9,15.7,221.0,8.0,79.0,5.8
2025-05-19 01:00:00,13.2,13.0,203.0,7.3,79.0,5.8
2025-05-19 02:00:00,11.8,11.5,189.0,6.8,79.0,5.8
2025-05-19 03:00:00,11.5,11.3,181.0,6.6,77.0,5.6
2025-05-19 04:00:00,11.4,11.2,175.0,6.6,74.0,5.3
2025-05-19 05:00:00,11.1,10.9,173.0,6.7,71.0,5.1
2025-05-19 06:00:00,10.5,10.4,174.0,7.0,68.0,5.3
2025-05-19 07:00:00,9.7,9.6,178.0,7.3,66.0,5.6
2025-05-19 08:00:00,6.5,6.4,181.0,9.7,58.0,7.1
2025-05-19 09:00:00,5.0,4.9,181.0,8.1,68.0,6.5
2025-05-19 10:00:00,4.8,4.7,179.0,5.8,81.0,5.6
2025-05-19 11:00:00,5.0,4.9,177.0,4.0,93.0,4.7
2025-05-19 12:00:00,4.7,4.6,173.0,3.0,102.0,3.9
2025-05-19 13:00:00,4.3,4.2,169.0,2.4,110.0,3.1
2025-05-19 14:00:00,4.5,4.3,166.0,2.1,116.0,2.5
2025-05-19 15:00:00,4.7,4.6,166.0,1.9,119.0,2.2
2025-05-19 16:00:00,5.2,5.0,168.0,2.1,120.0,2.1
2025-05-19 17:00:00,6.1,6.0,172.0,2.9,118.0,2.1
2025-05-19 18:00:00,7.3,7.2,182.0,5.0,112.0,2.3
2025-05-19 19:00:00,8.5,8.4,194.0,7.8,103.0,2.7
2025-05-19 20:00:00,9.2,9.0,203.0,10.2,94.0,3.1
2025-05-19 21:00:00,9.3,9.2,207.0,12.0,86.0,3.5
2025-05-19 22:00:00,9.1,9.0,209.0,13.3,78.0,3.9
2025-05-19 23:00:00,8.7,8.6,206.0,13.6,72.0,4.1
2025-05-20 00:00:00,8.1,7.9,198.0,12.2,68.0,4.0
2025-05-20 01:00:00,7.2,7.1,186.0,9.7,67.0,3.8
2025-05-20 02:00:00,6.3,6.2,175.0,7.8,65.0,3.6
2025-05-20 03:00:00,6.0,5.9,165.0,7.2,63.0,3.4
2025-05-20 04:00:00,6.0,5.8,156.0,7.3,62.0,3.1
2025-05-20 05:00:00,6.0,5.8,152.0,7.3,61.0,3.0
2025-05-20 06:00:00,6.0,5.8,155.0,7.2,61.0,3.2
2025-05-20 07:00:00,6.0,5.9,162.0,7.2,61.0,3.6
2025-05-20 08:00:00,5.6,5.4,168.0,7.0,63.0,3.8
2025-05-20 09:00:00,5.2,4.9,170.0,6.5,67.0,3.6
2025-05-20 10:00:00,5.2,4.9,171.0,5.8,72.0,3.3
2025-05-20 11:00:00,5.4,5.0,171.0,5.1,80.0,3.0
2025-05-20 12:00:00,5.8,5.4,169.0,4.3,91.0,2.7
2025-05-20 13:00:00,6.4,5.9,166.0,3.5,104.0,2.5
2025-05-20 14:00:00,6.9,6.3,166.0,3.0,116.0,2.3
2025-05-20 15:00:00,7.3,6.8,166.0,1.8,127.0,2.2
2025-05-20 16:00:00,7.7,7.0,168.0,0.9,136.0,2.3
2025-05-20 17:00:00,7.9,7.2,182.0,4.0,137.0,2.4
2025-05-20 18:00:00,8.2,7.5,222.0,14.9,124.0,2.6
2025-05-20 19:00:00,10.6,10.1,274.0,29.9,103.0,2.8
2025-05-20 20:00:00,15.5,15.0,304.0,41.2,85.0,3.3
2025-05-20 21:00:00,24.2,23.6,294.0,46.6,74.0,4.3
2025-05-20 22:00:00,22.2,21.8,262.0,48.3,68.0,5.4
2025-05-20 23:00:00,16.9,16.6,234.0,45.4,65.0,6.0
2025-05-21 00:00:00,12.0,11.8,218.0,34.9,69.0,5.4
2025-05-21 01:00:00,7.9,7.7,205.0,19.8,78.0,4.1
2025-05-21 02:00:00,6.3,6.0,192.0,8.3,85.0,3.1
2025-05-21 03:00:00,4.7,4.4,176.0,4.2,87.0,2.6
2025-05-21 04:00:00,4.2,3.8,160.0,3.8,87.0,2.2
2025-05-21 05:00:00,4.5,4.0,150.0,4.2,85.0,2.0
2025-05-21 06:00:00,4.9,4.0,152.0,5.0,82.0,1.9
2025-05-21 07:00:00,5.7,4.7,161.0,6.5,77.0,1.8
2025-05-21 08:00:00,6.8,5.8,168.0,7.7,74.0,1.8
2025-05-21 09:00:00,7.4,6.4,169.0,7.9,73.0,1.8
2025-05-21 10:00:00,7.2,6.4,169.0,7.7,75.0,1.7
2025-05-21 11:00:00,6.4,5.6,168.0,7.2,77.0,1.7
2025-05-21 12:00:00,6.1,5.4,167.0,6.3,82.0,1.6
2025-05-21 13:00:00,4.1,3.7,167.0,5.1,89.0,1.5
2025-05-21 14:00:00,4.0,3.7,167.0,4.5,93.0,1.5
2025-05-21 15:00:00,4.8,4.4,170.0,5.0,93.0,1.6
2025-05-21 16:00:00,5.4,5.0,174.0,6.2,90.0,1.8
2025-05-21 17:00:00,4.7,4.3,177.0,7.5,85.0,1.9
2025-05-21 18:00:00,4.2,3.9,177.0,9.0,78.0,1.8
2025-05-21 19:00:00,3.9,3.4,176.0,10.7,70.0,1.7
2025-05-21 20:00:00,4.1,3.5,174.0,11.8,64.0,1.6
2025-05-21 21:00:00,4.3,3.7,171.0,12.1,62.0,1.7
2025-05-21 22:00:00,4.2,3.6,167.0,11.9,62.0,1.8
2025-05-21 23:00:00,4.1,3.6,163.0,11.6,62.0,1.9
2025-05-22 00:00:00,4.3,3.7,161.0,11.0,61.0,2.0
2025-05-22 01:00:00,4.3,3.7,159.0,10.3,61.0,2.0
2025-05-22 02:00:00,4.3,3.7,157.0,10.0,59.0,2.1
2025-05-22 03:00:00,4.4,3.8,152.0,10.8,54.0,2.3
2025-05-22 04:00:00,4.7,4.1,147.0,12.0,49.0,2.6
2025-05-22 05:00:00,5.2,4.5,147.0,12.8,45.0,2.9
2025-05-22 06:00:00,6.3,5.3,156.0,12.8,45.0,3.2
2025-05-22 07:00:00,7.2,6.3,169.0,12.3,48.0,3.5
2025-05-22 08:00:00,6.6,6.2,181.0,11.2,52.0,3.7
2025-05-22 09:00:00,6.2,6.1,191.0,9.0,58.0,4.0
2025-05-22 10:00:00,5.0,5.0,199.0,6.3,65.0,4.2
2025-05-22 11:00:00,3.8,3.8,203.0,4.2,72.0,4.2
2025-05-22 12:00:00,3.4,3.3,197.0,3.2,79.0,3.8
2025-05-22 13:00:00,3.1,3.1,186.0,2.8,85.0,3.2
2025-05-22 14:00:00,3.4,3.4,184.0,3.2,88.0,2.9
2025-05-22 15:00:00,4.8,4.8,201.0,4.5,86.0,3.2
2025-05-22 16:00:00,5.4,5.4,227.0,6.6,80.0,3.7
2025-05-22 17:00:00,5.2,5.2,246.0,8.8,73.0,4.2
2025-05-22 18:00:00,4.6,4.6,249.0,11.2,66.0,4.4
2025-05-22 19:00:00,4.7,4.7,245.0,13.7,58.0,4.5
2025-05-22 20:00:00,5.3,5.3,244.0,15.8,51.0,4.7
2025-05-22 21:00:00,5.8,5.7,252.0,17.3,46.0,5.1
2025-05-22 22:00:00,6.1,6.0,262.0,18.4,41.0,5.5
2025-05-22 23:00:00,6.7,6.6,265.0,18.6,38.0,5.9
2025-05-23 00:00:00,7.1,7.1,253.0,17.6,36.0,6.1
2025-05-23 01:00:00,6.8,6.7,234.0,15.7,34.0,6.1
2025-05-23 02:00:00,5.8,5.8,217.0,13.6,34.0,6.2
2025-05-23 03:00:00,4.8,4.8,205.0,11.2,35.0,6.3
2025-05-23 04:00:00,3.9,3.8,196.0,8.5,38.0,6.4
2025-05-23 05:00:00,3.1,3.1,191.0,6.6,41.0,6.4
2025-05-23 06:00:00,2.8,2.8,195.0,6.0,45.0,6.4
2025-05-23 07:00:00,3.1,3.1,203.0,6.2,49.0,6.3
2025-05-23 08:00:00,3.1,3.0,209.0,6.1,54.0,6.0
2025-05-23 09:00:00,3.4,3.4,209.0,5.3,61.0,5.2
2025-05-23 10:00:00,3.0,3.0,205.0,4.3,69.0,4.2
2025-05-23 11:00:00,3.2,3.2,201.0,3.5,76.0,3.3
2025-05-23 12:00:00,3.6,3.6,196.0,2.9,82.0,2.7
2025-05-23 13:00:00,4.4,4.3,189.0,2.6,88.0,2.3
2025-05-23 14:00:00,4.6,4.5,186.0,2.4,92.0,2.1
2025-05-23 15:00:00,4.7,4.6,188.0,2.3,94.0,2.1
2025-05-23 16:00:00,5.0,4.9,192.0,2.3,94.0,2.3
2025-05-23 17:00:00,5.7,5.5,197.0,3.3,92.0,2.6
2025-05-23 18:00:00,6.2,6.1,202.0,6.2,86.0,3.0
2025-05-23 19:00:00,7.2,7.1,207.0,10.0,77.0,3.4
2025-05-23 20:00:00,7.2,7.1,209.0,12.3,70.0,3.8
2025-05-23 21:00:00,6.6,6.5,210.0,11.7,68.0,4.1
2025-05-23 22:00:00,5.2,5.1,209.0,9.7,68.0,4.4
2025-05-23 23:00:00,4.3,4.2,168.0,8.0,68.0,4.6
