ingest_date,isbn13,google_id,title,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,maturity_rating,language,preview_link,info_link,thumbnail_link,small_thumbnail_link,list_price_amount,list_price_currency_code,buy_link,sale_info_json,access_info,additional_metadata
2025-05-19,9781668078181,4VtMEQAAQBAJ,Broken Country,,['Clare Leslie Hall'],Simon and Schuster,2025-03-04,"“Stirring and mysterious…fires directly at the human heart and hits the mark.” —Delia Owens, New York Times bestselling author of Where the Crawdads Sing A love triangle unearths dangerous, deadly secrets from the past in this thrilling tale perfect for fans of The Paper Palace and Where the Crawdads Sing. “The farmer is dead. He is dead, and all anyone wants to know is who killed him.” Beth and her gentle, kind husband Frank are happily married, but their relationship relies on the past staying buried. But when Beth’s brother-in-law shoots a dog going after their sheep, Beth doesn’t realize that the gunshot will alter the course of their lives. For the dog belonged to none other than Gabriel Wolfe, the man Beth loved as a teenager—the man who broke her heart years ago. Gabriel has returned to the village with his young son Leo, a boy who reminds Beth very much of her own son, who died in a tragic accident. As Beth is pulled back into Gabriel’s life, tensions around the village rise and dangerous secrets and jealousies from the past resurface, this time with deadly consequences. Beth is forced to make a choice between the woman she once was, and the woman she has become. A sweeping love story with the pace and twists of a thriller, Broken Country is a novel of simmering passion, impossible choices, and explosive consequences that toggles between the past and present to explore the far-reaching legacy of first love.",320,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=4VtMEQAAQBAJ&printsec=frontcover&dq=isbn:9781668078181&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=4VtMEQAAQBAJ&dq=isbn:9781668078181&hl=&source=gbs_api,http://books.google.com/books/content?id=4VtMEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=4VtMEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""PARTIAL"", ""embeddable"": true, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED_FOR_ACCESSIBILITY"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=4VtMEQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""SAMPLE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""fy2Mn2uhvCY"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/4VtMEQAAQBAJ"", ""searchInfo"": {""textSnippet"": ""&quot;Beth and her gentle, kind husband Frank are happily married, but their relationship relies on the past staying buried.""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""1.3.2.0.preview.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781250178633,ALG9EAAAQBAJ,The Women,A Novel,['Kristin Hannah'],St. Martin's Press,2024-02-06,"""When twenty-year-old nursing student Frances ""Frankie"" McGrath hears these unexpected words, it is a revelation. Raised on idyllic Coronado Island and sheltered by her conservative parents, she has always prided herself on doing the right thing, being a good girl. But in 1965 the world is changing, and she suddenly imagines a different choice for her life. When her brother ships out to serve in Vietnam, she impulsively joins the Army Nurse Corps and follows his path. As green and inexperienced as the men sent to Vietnam to fight, Frankie is overwhelmed by the chaos and destruction of war, as well as the unexpected trauma of coming home to a changed and politically divided America.""--",0,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=ALG9EAAAQBAJ&dq=isbn:9781250178633&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=ALG9EAAAQBAJ&dq=isbn:9781250178633&hl=&source=gbs_api,http://books.google.com/books/content?id=ALG9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ALG9EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""NO_PAGES"", ""embeddable"": false, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=ALG9EAAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""NONE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""LxHOt95Kdys"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ALG9EAAAQBAJ"", ""searchInfo"": {""textSnippet"": ""From the celebrated author of The Nightingale and The Four Winds comes Kristin Hannah&#39;s The Women--at once an intimate portrait of coming of age in a dangerous time and an epic tale of a nation divided.""}, ""volumeInfo_readingModes"": {""text"": true, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""preview-1.0.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9780593441299,Ur8fEQAAQBAJ,Great Big Beautiful Life: Reese's Book Club,,['Emily Henry'],Penguin Group,2025-04-22,"A REESE’S BOOK CLUB PICK ∙ Two writers compete for the chance to tell the larger-than-life story of a woman with more than a couple of plot twists up her sleeve in this dazzling and sweeping novel from Emily Henry. As featured in The New York Times ∙ Rolling Stone ∙ People ∙ Good Morning America ∙ NPR ∙ The Cut ∙ USA Today ∙ Harper's Bazaar ∙ Marie Claire ∙ E! Online ∙ The New York Post ∙ Bustle ∙ Reader's Digest ∙ BBC ∙ PopSugar ∙ SheReads ∙ Paste ∙ and more! Alice Scott is an eternal optimist still dreaming of her big writing break. Hayden Anderson is a Pulitzer-prize winning human thundercloud. And they’re both on balmy Little Crescent Island for the same reason: to write the biography of a woman no one has seen in years—or at least to meet with the octogenarian who claims to be the Margaret Ives. Tragic heiress, former tabloid princess, and daughter of one of the most storied (and scandalous) families of the twentieth century. When Margaret invites them both for a one-month trial period, after which she’ll choose the person who’ll tell her story, there are three things keeping Alice’s head in the game. One: Alice genuinely likes people, which means people usually like Alice—and she has a whole month to win the legendary woman over. Two: She’s ready for this job and the chance to impress her perennially unimpressed family with a Serious Publication. Three: Hayden Anderson, who should have no reason to be concerned about losing this book, is glowering at her in a shaken-to-the core way that suggests he sees her as competition. But the problem is, Margaret is only giving each of them pieces of her story. Pieces they can’t swap to put together because of an ironclad NDA and an inconvenient yearning pulsing between them every time they’re in the same room. And it’s becoming abundantly clear that their story—just like the tale Margaret’s spinning—could be a mystery, tragedy, or love ballad . . . depending on who’s telling it.",433,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=Ur8fEQAAQBAJ&printsec=frontcover&dq=isbn:9780593441299&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=Ur8fEQAAQBAJ&dq=isbn:9780593441299&hl=&source=gbs_api,http://books.google.com/books/content?id=Ur8fEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Ur8fEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""PARTIAL"", ""embeddable"": true, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": true, ""acsTokenLink"": ""http://books.google.com/books/download/Great_Big_Beautiful_Life_Reese_s_Book_Cl-sample-pdf.acsm?id=Ur8fEQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api""}, ""webReaderLink"": ""http://play.google.com/books/reader?id=Ur8fEQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""SAMPLE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""lZdDSu5Geds"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/Ur8fEQAAQBAJ"", ""searchInfo"": {""textSnippet"": ""Three: Hayden Anderson, who should have no reason to be concerned about losing this book, is glowering at her in a shaken-to-the core way that suggests he sees her as competition.""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": true}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""1.1.1.0.preview.1"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9780593875469,OyknEQAAQBAJ,Silver Elite,,['Dani Francis'],Random House,2025-05-06,"NEW YORK TIMES BESTSELLER • In the first book of a sizzling dystopian romance series, psychic gifts are a death sentence and there are rules to survival: Trust no one. Lie to everyone. And whatever you do, don’t fall for your greatest enemy. “Dani Francis is a rockstar, and I’m so happy she’s bringing dystopia back! . . . I’m absolutely obsessed, and I need the next book in the series injected into my vein right now.”—Ali Hazelwood, #1 New York Times bestselling author of Bride This stunning hardcover features a jacket with foil and a black-and-white interior map! TRUST NO ONE. Wren Darlington has spent her whole life in hiding, honing her psychic abilities and aiding the rebel Uprising in small ways. On the Continent, being Modified means certain death—and Wren is one of the most powerful Mods in existence. When one careless mistake places her in the hands of the enemy and she’s forced to join their most elite training program, she’s finally handed the perfect opportunity to strike a devastating blow from inside their ranks. LIE TO EVERYONE. But training for Silver Block can be deadly, especially when you’re harboring dangerous secrets and living in close quarters with everyone who wants you dead. AND WHATEVER YOU DO, DON’T FALL FOR YOUR GREATEST ENEMY. As the stakes grow ever higher, Wren must prove herself to Silver Block. But that’s easier said than done when your commanding officer is the ruthless and infuriatingly irresistible Cross Redden, who doesn’t miss anything when it comes to her. And as war rages between Mods like her and those who aim to destroy them, Wren must decide just how far she’s willing to go to protect herself . . . and how much of the Continent is worth saving.",529,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=OyknEQAAQBAJ&printsec=frontcover&dq=isbn:9780593875469&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=OyknEQAAQBAJ&dq=isbn:9780593875469&hl=&source=gbs_api,http://books.google.com/books/content?id=OyknEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=OyknEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""PARTIAL"", ""embeddable"": true, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": true, ""acsTokenLink"": ""http://books.google.com/books/download/Silver_Elite-sample-pdf.acsm?id=OyknEQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api""}, ""webReaderLink"": ""http://play.google.com/books/reader?id=OyknEQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""SAMPLE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""M250/uIQNmQ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/OyknEQAAQBAJ"", ""searchInfo"": {""textSnippet"": "". I\u2019m absolutely obsessed, and I need the next book in the series injected into my vein right now.\u201d\u2014Ali Hazelwood, #1 New York Times bestselling author of Bride This stunning hardcover features a jacket with foil and a black-and-white ...""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": true}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""1.2.1.0.preview.1"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781982112820,SkM5EQAAQBAJ,My Friends,A Novel,['Fredrik Backman'],Simon and Schuster,2025-05-06,"""Most people don't even notice them-three tiny figures sitting at the end of a long pier in the corner of one of the most famous paintings in the world. Most people think it's just a depiction of the sea. But Louisa, an artist herself, knows otherwise and she is determined to find out the story of these three enigmatic figures. Twenty-five years earlier, in a distant town, a group of teenagers find refuge from their difficult home lives by spending their days laughing and telling stories out on a pier. There's Joar, who never backs down from a fight; quiet and bookish Ted who is mourning his father; Ali, the daughter of a man who never stays in one place for long; and finally, there's the artist, a boy who hoards sleeping pills and shuns attention, but who possesses an extraordinary gift that might be his ticket to a better life. These four lost souls find in each other a reason to get up each morning, a reason to dream. Out of that summer emerges a transcendent work of art, a painting that will unexpectedly be put into eighteen-year-old Louisa's care. As she struggles to decide what to do with this bequest, she embarks on a surprise-filled cross-country journey to learn the story of how the painting came to be. The closer she gets to the painting's birthplace, the more she feels compelled to unleash her own artistic spirit, but happy endings don't always take the form we expect in this fresh testament to the transformative power of friendship and art""--",448,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=SkM5EQAAQBAJ&printsec=frontcover&dq=isbn:9781982112820&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=SkM5EQAAQBAJ&dq=isbn:9781982112820&hl=&source=gbs_api,http://books.google.com/books/content?id=SkM5EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=SkM5EQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""PARTIAL"", ""embeddable"": true, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED_FOR_ACCESSIBILITY"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=SkM5EQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""SAMPLE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""FE9k7Xf2/oI"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/SkM5EQAAQBAJ"", ""searchInfo"": {""textSnippet"": ""Most people think it&#39;s just a depiction of the sea. But Louisa, an artist herself, knows otherwise and she is determined to find out the story of these three enigmatic figures.""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""1.1.1.0.preview.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781649378514,2l4zEQAAQBAJ,Shield of Sparrows (Deluxe Limited Edition),,['Devney Perry'],Entangled: Red Tower Books,2025-05-06,"""The gods sent monsters to the five kingdoms to remind mortals they must kneel. I've spent my life kneeling--to their will and to my father's. As a princess, my only duty is to wear the crown and obey the king. I was never meant to rule. Never meant to fight. And I was never supposed to be the daughter who sealed an ancient treaty with her own blood. But that changed the fateful day I stepped into my father's throne room. The day a legendary monster hunter sailed to our shores. The day a prince ruined my life. Now I'm crossing treacherous lands beside a warrior who despises me as much as I despise him--bound to a future I didn't choose and a husband I barely know""--",0,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=2l4zEQAAQBAJ&dq=isbn:9781649378514&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=2l4zEQAAQBAJ&dq=isbn:9781649378514&hl=&source=gbs_api,http://books.google.com/books/content?id=2l4zEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=2l4zEQAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""NO_PAGES"", ""embeddable"": false, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=2l4zEQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""NONE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""OE72ZQr9byg"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/2l4zEQAAQBAJ"", ""searchInfo"": {""textSnippet"": ""&quot;The gods sent monsters to the five kingdoms to remind mortals they must kneel.""}, ""volumeInfo_readingModes"": {""text"": true, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""preview-1.0.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781538759196,qOzU0AEACAAJ,Say You'll Remember Me,,['Abby Jimenez'],Forever,2025,"""Abby Jimenez has proven time and time again to be one of our must-read writers.""―Cosmopolitan There might be no such a thing as a perfect guy, but Xavier Rush comes disastrously close. A gorgeous veterinarian giving Greek god vibes--all while cuddling a tiny kitten? Immediately yes. That is until Xavier opens his mouth and proves that even sculpted gods can say the absolute wrong thing. Like, really wrong. Of course, there's nothing Samantha loves more than proving an asshole wrong... . . . unless, of course, he can admit he made a mistake. But after one incredible and seemingly endless date--possibly the best in living history--Samantha is forced to admit the truth, that her family is in crisis and any kind of relationship would be impossible. Samantha begs Xavier to forget her. To remember their night together as a perfect moment, as crushing as that may be. Only no amount of distance or time is nearly enough to forget that something between them. And the only thing better than one single perfect memory is to make a life--and even a love--worth remembering.",0,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=qOzU0AEACAAJ&dq=isbn:9781538759196&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=qOzU0AEACAAJ&dq=isbn:9781538759196&hl=&source=gbs_api,http://books.google.com/books/content?id=qOzU0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=qOzU0AEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""NO_PAGES"", ""embeddable"": false, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=qOzU0AEACAAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""NONE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""/07qWrGhh5c"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/qOzU0AEACAAJ"", ""searchInfo"": {""textSnippet"": ""From the #1 New York Times bestselling author of Just for the Summer comes a playful yet deeply emotional romance where one date is all it takes for two people to know they&#39;re perfect for each other . . . until one of them moves 2,000 miles ...""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""preview-1.0.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781538742051,9sXa0AEACAAJ,Strangers in Time,,['David Baldacci'],,2025-04-15,"From the #1 New York Times bestselling author of A Calamity of Souls comes David Baldacci's newest novel set in London in 1944, about a bereaved book shop owner and two teenagers scarred by the second world war, and the healing and hope they find in one another. Fourteen-year-old Charlie Matters is up to no good, but for a very good reason. Without parents, peerage, or merit, ducking school but barred from actual work, he steals what he needs, living day-to-day until he's old enough to enlist to fight the Germans. After barely surviving the Blitz, Charlie knows there's no telling when a falling bomb might end his life. Fifteen-year-old Molly Wakefield has just returned to a nearly unrecognizable London. One of millions of people to have been evacuated to the countryside via ""Operation Pied Piper,"" Molly has been away from her parents--from her home--for nearly five years. Her return, however, is not the homecoming she'd hoped for as she's confronted by a devastating reality: both her parents are gone. Without guardians and stability, Charlie and Molly find an unexpected ally and protector in Ignatius Oliver, and solace at his book shop, The Book Keep, where A book a day keeps the bombs away. Mourning the recent loss of his wife, Ignatius forms a kinship with both children, and in each other--over the course of the greatest armed conflict the world had ever seen--they rediscover the spirit of family each has lost. But Charlie's escapades in the city have not gone unnoticed, and someone's been following Molly since she returned to London. And Ignatius is still reeling from a secret Imogen long kept from him while she was alive--something so shocking it resulted in her death, and his life being turned upside down. As bombs continue to bear down on the city, Charlie, Molly, and Ignatius learn that while the perils of war rage on, their coming together and trusting one another may be the only way for them to survive.",0,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=9sXa0AEACAAJ&dq=isbn:9781538742051&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=9sXa0AEACAAJ&dq=isbn:9781538742051&hl=&source=gbs_api,http://books.google.com/books/content?id=9sXa0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=9sXa0AEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""NO_PAGES"", ""embeddable"": false, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=9sXa0AEACAAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""NONE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""TWLkqeVsOMA"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/9sXa0AEACAAJ"", ""searchInfo"": {""textSnippet"": ""Pride. Without guardians an stability, Charlie and Molly find an unexpected ally and protector in Ignatius Oliver, and solace at his book shop, The Book Keep, where a book a day keeps the bombs away&quot;--""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""preview-1.0.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9781649374172,EY69EAAAQBAJ,Iron Flame,,['Rebecca Yarros'],Entangled: Red Tower Books,2023-11-07,"""Everyone expected Violet Sorrengail to die during her first year at Basgiath War College--Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet's already wondering how she'll get through. It's not just that it's grueling and maliciously brutal, or even that it's designed to stretch the riders' capacity for pain beyond endurance. It's the new vice commandant, who's made it his personal mission to teach Violet exactly how powerless she is-unless she betrays the man she loves. Although Violet's body might be weaker and frailer than everyone else's, she still has her wits--and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won't be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College--and nothing, not even dragon fire, may be enough to save them in the end."" --",0,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=EY69EAAAQBAJ&dq=isbn:9781649374172&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=EY69EAAAQBAJ&dq=isbn:9781649374172&hl=&source=gbs_api,http://books.google.com/books/content?id=EY69EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=EY69EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""NO_PAGES"", ""embeddable"": false, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": false}, ""webReaderLink"": ""http://play.google.com/books/reader?id=EY69EAAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""NONE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""wsSzrtsLnnI"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/EY69EAAAQBAJ"", ""searchInfo"": {""textSnippet"": ""She&#39;s survived her first year at Basgiath War College for dragon riders.but the danger&#39;s just beginning in the electrifying, pulse-pounding follow-up to the Fourth Wing by USA Today bestselling author Rebecca Yarros.""}, ""volumeInfo_readingModes"": {""text"": true, ""image"": false}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""preview-1.0.0"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
2025-05-19,9780593833902,eVEZEQAAQBAJ,The Names: A Read with Jenna Pick,A Novel,['Florence Knapp'],Penguin Group,2025-05-06,"READ WITH JENNA BOOK CLUB PICK AS FEATURED ON TODAY “Dazzling. . . The Names is startlingly joyful and paced like a thriller…Knapp tirelessly and beautifully replicates not just loss and grief but endless rebirth and delight.” —The Washington Post “Elegant. . . this is a wholly original work.” —People Magazine ""Book of the Week"" “A magnificent novel, thrumming with life in all its pain and precariousness, yet suffused with the glorious possibilities of love and redemption.” —Geraldine Brooks, Pulitzer Prize–winning author of Horse The extraordinary novel that asks: Can a name change the course of a life? In the wake of a catastrophic storm, Cora sets off with her nine-year-old daughter, Maia, to register her son's birth. Her husband, Gordon, a local doctor, respected in the community but a terrifying and controlling presence at home, intends for her to name the infant after him. But when the registrar asks what she'd like to call the child, Cora hesitates... Spanning thirty-five years, what follows are three alternate and alternating versions of Cora's and her young son's lives, shaped by her choice of name. In richly layered prose, The Names explores the painful ripple effects of domestic abuse, the messy ties of family, and the possibilities of autonomy and healing. With exceptional sensitivity and depth, Knapp draws us into the story of one family, told through a prism of what-ifs, causing us to consider the ""one . . . precious life"" we are given. The book’s brilliantly imaginative structure, propulsive storytelling, and emotional, gut-wrenching power are certain to make The Names a modern classic.",337,['Fiction'],,,NOT_MATURE,en,http://books.google.com/books?id=eVEZEQAAQBAJ&printsec=frontcover&dq=isbn:9780593833902&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=eVEZEQAAQBAJ&dq=isbn:9780593833902&hl=&source=gbs_api,http://books.google.com/books/content?id=eVEZEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=eVEZEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,,"{""country"": ""US"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}","{""country"": ""US"", ""viewability"": ""PARTIAL"", ""embeddable"": true, ""publicDomain"": false, ""textToSpeechPermission"": ""ALLOWED"", ""epub"": {""isAvailable"": false}, ""pdf"": {""isAvailable"": true, ""acsTokenLink"": ""http://books.google.com/books/download/The_Names_A_Read_with_Jenna_Pick-sample-pdf.acsm?id=eVEZEQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api""}, ""webReaderLink"": ""http://play.google.com/books/reader?id=eVEZEQAAQBAJ&hl=&source=gbs_api"", ""accessViewStatus"": ""SAMPLE"", ""quoteSharingAllowed"": false}","{""kind"": ""books#volume"", ""etag"": ""aFSxgRS14E0"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/eVEZEQAAQBAJ"", ""searchInfo"": {""textSnippet"": ""Knapp tirelessly and beautifully replicates not just loss and grief but endless rebirth and delight.\u201d \u2014The Washington Post \u201cElegant. . . this is a wholly original work.\u201d \u2014People Magazine &quot;Book of the Week&quot; \u201cA magnificent novel, ...""}, ""volumeInfo_readingModes"": {""text"": false, ""image"": true}, ""volumeInfo_allowAnonLogging"": false, ""volumeInfo_contentVersion"": ""1.1.1.0.preview.1"", ""volumeInfo_panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}}"
