ingest_date,isbn13,title,subtitle,authors,publish_date,publishers,publish_places,number_of_pages,subjects,cover_url,additional_metadata
2025-05-19,9781668078181,Broken Country,A novel,['Clare Leslie Hall'],2025,['Simon & Schuster'],"['New York, USA']",307.0,,https://covers.openlibrary.org/b/id/14849295-L.jpg,"{""url"": ""https://openlibrary.org/books/OL57758196M/Broken_Country"", ""key"": ""/books/OL57758196M"", ""weight"": ""0.468 "", ""identifiers"": {""isbn_13"": [""9781668078181""], ""openlibrary"": [""OL57758196M""]}}"
2025-05-19,9781250178633,The women,,['Kristin Hannah'],2024,"[""St. Martin's Press""]","['New York, USA']",,"['American literature', 'nyt:combined-print-and-e-book-fiction=2024-02-25', 'New York Times bestseller', 'Historical fiction', 'nurses', 'psychic trauma', 'Psychological fiction', 'war', 'fiction', 'United States Armed Forces', 'veterans', 'Vietnam War', 'Young women']",https://covers.openlibrary.org/b/id/14550040-L.jpg,"{""url"": ""https://openlibrary.org/books/OL50210208M/The_women"", ""key"": ""/books/OL50210208M"", ""identifiers"": {""isbn_13"": [""9781250178633""], ""openlibrary"": [""OL50210208M""]}, ""classifications"": {""lc_classifications"": [""PS3558.A4763W66 2024""]}, ""subject_places"": [{""name"": ""Vietnam"", ""url"": ""https://openlibrary.org/subjects/place:vietnam""}, {""name"": ""California"", ""url"": ""https://openlibrary.org/subjects/place:california""}, {""name"": ""Coronado (Calif.)"", ""url"": ""https://openlibrary.org/subjects/place:coronado_(calif.)""}, {""name"": ""United States"", ""url"": ""https://openlibrary.org/subjects/place:united_states""}], ""subject_people"": [{""name"": ""Frances McGrath"", ""url"": ""https://openlibrary.org/subjects/person:frances_mcgrath""}]}"
2025-05-19,9780593441299,Great Big Beautiful Life,,['Emily Henry'],2025,"['Berkley, an imprint of Penguin Publishing Group']","['New York, USA']",432.0,,https://covers.openlibrary.org/b/id/14861424-L.jpg,"{""url"": ""https://openlibrary.org/books/OL57567663M/Great_Big_Beautiful_Life"", ""key"": ""/books/OL57567663M"", ""pagination"": ""418"", ""weight"": ""0.671 "", ""identifiers"": {""isbn_13"": [""9780593441299""], ""lccn"": [""2024050180""], ""openlibrary"": [""OL57567663M""]}, ""classifications"": {""lc_classifications"": [""PS3608.E5715G74 2025""]}}"
2025-05-19,9780593875469,Silver Elite,,['Dani Francis'],06.05.2025,['Random House Worlds'],,528.0,,https://covers.openlibrary.org/b/id/14847507-L.jpg,"{""url"": ""https://openlibrary.org/books/OL57572835M/Silver_Elite"", ""key"": ""/books/OL57572835M"", ""weight"": ""0.568 "", ""identifiers"": {""isbn_10"": [""059387546X""], ""isbn_13"": [""9780593875469""], ""openlibrary"": [""OL57572835M""]}}"
2025-05-19,9781982112820,My friends,A novel,['Fredrik Backman'],2025,['Atria Books'],"['New York, USA']",436.0,,https://covers.openlibrary.org/b/id/14974383-L.jpg,"{""url"": ""https://openlibrary.org/books/OL58860722M/My_friends"", ""key"": ""/books/OL58860722M"", ""identifiers"": {""isbn_13"": [""9781982112820""], ""openlibrary"": [""OL58860722M""]}}"
2025-05-19,9781649378514,Untitled Red Tower Release,,['Devney Perry'],"May 06, 2025",['Entangled: Red Tower Books'],,,,,"{""url"": ""https://openlibrary.org/books/OL57653590M/Untitled_Red_Tower_Release"", ""key"": ""/books/OL57653590M"", ""identifiers"": {""isbn_10"": [""1649378513""], ""isbn_13"": [""9781649378514""], ""openlibrary"": [""OL57653590M""]}, ""notes"": ""Source title: Untitled Red Tower Release (Deluxe Limited Edition)""}"
2025-05-19,9781538759196,Say You'll Remember Me,,['Abby Jimenez'],2025,"['Forever, an imprint of Grand Central Publishing']","['New York, USA']",,,https://covers.openlibrary.org/b/id/14856246-L.jpg,"{""url"": ""https://openlibrary.org/books/OL58320467M/Say_You'll_Remember_Me"", ""key"": ""/books/OL58320467M"", ""pagination"": ""v, 358"", ""identifiers"": {""isbn_13"": [""9781538759196""], ""openlibrary"": [""OL58320467M""]}}"
2025-05-19,9781538742051,Strangers in time,,['David Baldacci'],2025,"['Grand Central Publishing, a division of Hachette Book Group']","['New York, USA']",433.0,,https://covers.openlibrary.org/b/id/14859272-L.jpg,"{""url"": ""https://openlibrary.org/books/OL58433171M/Strangers_in_time"", ""key"": ""/books/OL58433171M"", ""identifiers"": {""isbn_13"": [""9781538742051""], ""openlibrary"": [""OL58433171M""]}}"
2025-05-19,9781649374172,Iron Flame,,['Rebecca Yarros'],2023,"['Entangled Publishing, LLC', 'Entangled: Red Tower Books']",,512.0,"['nyt:combined-print-and-e-book-fiction=2023-11-26', 'New York Times bestseller']",https://covers.openlibrary.org/b/id/14611581-L.jpg,"{""url"": ""https://openlibrary.org/books/OL46781584M/Iron_Flame"", ""key"": ""/books/OL46781584M"", ""pagination"": ""512"", ""weight"": ""0.455 "", ""identifiers"": {""isbn_10"": [""1649374178""], ""isbn_13"": [""9781649374172""], ""openlibrary"": [""OL46781584M""]}}"
2025-05-19,9780593833902,The Names,A Novel,['Florence Knapp'],2025,['Pamela Dorman / Viking'],"['New York, USA']",336.0,,https://covers.openlibrary.org/b/id/14974409-L.jpg,"{""url"": ""https://openlibrary.org/books/OL57563691M/The_Names"", ""key"": ""/books/OL57563691M"", ""pagination"": ""328"", ""weight"": ""0.516 "", ""identifiers"": {""isbn_13"": [""9780593833902""], ""lccn"": [""2024033223""], ""openlibrary"": [""OL57563691M""]}, ""classifications"": {""lc_classifications"": [""PR6111.N36N36 2025""]}}"
2025-05-19,9798874620936,Perfect Divorce,,['Jeneva Rose'],2025,"['Blackstone Audio, Incorporated']",,288.0,,,"{""url"": ""https://openlibrary.org/books/OL57572245M/Perfect_Divorce"", ""key"": ""/books/OL57572245M"", ""identifiers"": {""isbn_13"": [""9798874620936""], ""openlibrary"": [""OL57572245M""]}}"
2025-05-19,9781649374189,Onyx Storm,,['Rebecca Yarros'],"January 21, 2025",['Entangled: Red Tower Books'],,544.0,['American literature'],https://covers.openlibrary.org/b/id/14826089-L.jpg,"{""url"": ""https://openlibrary.org/books/OL56973186M/Onyx_Storm"", ""key"": ""/books/OL56973186M"", ""identifiers"": {""amazon"": [""B0CW1FKFB9""], ""isbn_13"": [""9781649374189""], ""openlibrary"": [""OL56973186M""]}}"
